Miejscowosc                   Srednia                       Min                           Max                           
Motala                        58.5333                       58.5333                       58.5333                       
Zhangshu                      28.0667                       28.0667                       28.0667                       
Fords                         40.5359                       40.5359                       40.5359                       
Donetsk                       48.1681                       48.0028                       48.3333                       
Pleszew                       51.8833                       51.8833                       51.8833                       
Fenoarivobe                   -18.4497                      -18.4497                      -18.4497                      
Mykhailivka                   47.2717                       47.2717                       47.2717                       
Suchindram                    8.1544                        8.1544                        8.1544                        
Rury                          51.2386                       51.2386                       51.2386                       
Lagos                         21.7789                       6.455                         37.1028                       
Tangainony                    -22.7                         -22.7                         -22.7                         
Villa Sarmiento               -34.6333                      -34.6333                      -34.6333                      
Konya                         37.8667                       37.8667                       37.8667                       
Bobonong                      -21.9704                      -21.9704                      -21.9704                      
Rockford                      42.2596                       42.2596                       42.2596                       
Delhi                         33.0203                       28.61                         37.4306                       
Crna Trava                    42.8101                       42.8101                       42.8101                       
Bobon                         12.5167                       12.5167                       12.5167                       
Jalgaon                       21.004                        21.004                        21.004                        
Njeru                         0.4311                        0.4311                        0.4311                        
Purwakarta                    -6.5533                       -6.5533                       -6.5533                       
Ulstein                       62.3564                       62.3564                       62.3564                       
Sannieshof                    -26.5333                      -26.5333                      -26.5333                      
Derby                         42.9113                       37.5571                       52.9217                       
Amman                         31.9497                       31.9497                       31.9497                       
Sepatan                       -6.1143                       -6.1143                       -6.1143                       
Jingdezhen                    29.2942                       29.2942                       29.2942                       
Guangzhou                     23.13                         23.13                         23.13                         
Silivri                       41.0736                       41.0736                       41.0736                       
Beni Enzar                    35.2667                       35.2667                       35.2667                       
Dnipro                        48.4675                       48.4675                       48.4675                       
Blagodarnyy                   45.1                          45.1                          45.1                          
Duzhuang                      40.0121                       40.0121                       40.0121                       
Upper Chichester              39.8414                       39.8414                       39.8414                       
Chinchvad                     18.6186                       18.6186                       18.6186                       
Clichy                        48.9044                       48.9044                       48.9044                       
Suhum                         6.0333                        6.0333                        6.0333                        
Bunkeflostrand                55.55                         55.55                         55.55                         
Aurora                        26.7633                       -6.9428                       44                            
Yaypan                        40.3758                       40.3758                       40.3758                       
Raba                          -8.4614                       -8.4614                       -8.4614                       
Voi                           -3.3906                       -3.3906                       -3.3906                       
Aranyaprathet                 13.6928                       13.6928                       13.6928                       
Ouagadougou                   12.3686                       12.3686                       12.3686                       
Hrastnik                      46.1479                       46.1479                       46.1479                       
Gold Coast                    -28.0167                      -28.0167                      -28.0167                      
Tocache Nuevo                 -8.1889                       -8.1889                       -8.1889                       
Douar Toulal                  33.8951                       33.8951                       33.8951                       
Manila                        14.5958                       14.5958                       14.5958                       
Salavat                       53.3667                       53.3667                       53.3667                       
Santiago Amoltepec            16.6167                       16.6167                       16.6167                       
Tangshan                      39.6292                       39.6292                       39.6292                       
Bouhlou                       34.1333                       34.1333                       34.1333                       
Ambohinamboarina              -21.0333                      -21.0333                      -21.0333                      
Tieling                       42.2841                       42.2841                       42.2841                       
Southside                     33.9007                       33.9007                       33.9007                       
Orenburg                      51.7667                       51.7667                       51.7667                       
Ormond Beach                  29.2985                       29.2985                       29.2985                       
Friern Barnet                 51.6126                       51.6126                       51.6126                       
Holland                       42.7677                       42.7677                       42.7677                       
Cottingham                    53.7822                       53.7822                       53.7822                       
Kaga                          36.3028                       36.3028                       36.3028                       
Ghattupal                     17.0725                       17.0725                       17.0725                       
Ho Chi Minh City              10.7756                       10.7756                       10.7756                       
Buchloe                       48.0375                       48.0375                       48.0375                       
Brisbane                      -27.4678                      -27.4678                      -27.4678                      
Nairobi                       -1.2864                       -1.2864                       -1.2864                       
Reinach                       47.4833                       47.4833                       47.4833                       
Ariana                        36.8625                       36.8625                       36.8625                       
Nukus                         42.4667                       42.4667                       42.4667                       
Owensboro                     37.7575                       37.7575                       37.7575                       
Anantapur                     14.68                         14.68                         14.68                         
Kayseri                       38.7225                       38.7225                       38.7225                       
Guanabacoa                    23.1252                       23.1252                       23.1252                       
Tokyo                         35.6897                       35.6897                       35.6897                       
Kanggye                       40.9667                       40.9667                       40.9667                       
Indalvai                      18.5403                       18.5403                       18.5403                       
Tbilisi                       41.7225                       41.7225                       41.7225                       
Huainan                       32.4831                       32.4831                       32.4831                       
Norwalk                       39.4388                       33.9069                       41.4895                       
Malhada                       -14.3358                      -14.3358                      -14.3358                      
Jakarta                       -6.175                        -6.175                        -6.175                        
Hengelo                       52.2656                       52.2656                       52.2656                       
Port Charlotte                26.9918                       26.9918                       26.9918                       
Friesenheim                   48.3731                       48.3731                       48.3731                       
Bangalore                     12.9789                       12.9789                       12.9789                       
Hammersmith                   51.4928                       51.4928                       51.4928                       
Vadapalanji                   9.9266                        9.9266                        9.9266                        
Asheville                     35.5707                       35.5707                       35.5707                       
Weert                         51.25                         51.25                         51.25                         
Eastvale                      33.9617                       33.9617                       33.9617                       
Tainan                        22.9833                       22.9833                       22.9833                       
Leavenworth                   39.3239                       39.3239                       39.3239                       
Maroteza                      -22.3                         -22.3                         -22.3                         
Ribeira Grande                27.4998                       17.183                        37.8167                       
Centurion                     -25.8603                      -25.8603                      -25.8603                      
Mumbai                        19.0761                       19.0761                       19.0761                       
Bonate di Sopra               45.6833                       45.6833                       45.6833                       
Loufan                        38.0694                       38.0694                       38.0694                       
Shulan                        44.4079                       44.4079                       44.4079                       
Maranguape                    -3.89                         -3.89                         -3.89                         
Uman                          34.8166                       20.8833                       48.75                         
Mecca                         21.4225                       21.4225                       21.4225                       
Chassieu                      45.7444                       45.7444                       45.7444                       
Warri                         5.5167                        5.5167                        5.5167                        
Anaconda                      46.0608                       46.0608                       46.0608                       
Alatri                        41.725                        41.725                        41.725                        
Nanuet                        41.0957                       41.0957                       41.0957                       
Yancheng                      33.3936                       33.3936                       33.3936                       
Telavi                        41.9167                       41.9167                       41.9167                       
Zhoukou                       33.625                        33.625                        33.625                        
Repentigny                    45.7333                       45.7333                       45.7333                       
Ramla                         31.9275                       31.9275                       31.9275                       
Shanghai                      31.1667                       31.1667                       31.1667                       
Qingping                      34.538                        34.538                        34.538                        
Holbeach                      52.8037                       52.8037                       52.8037                       
Tangalla                      6.0167                        6.0167                        6.0167                        
La Carolina                   38.2667                       38.2667                       38.2667                       
Tyumen                        57.15                         57.15                         57.15                         
Vohburg an der Donau          48.7667                       48.7667                       48.7667                       
Rukungiri                     -0.79                         -0.79                         -0.79                         
Shangqiu                      34.4259                       34.4259                       34.4259                       
Mentone                       34.0609                       34.0609                       34.0609                       
Nuriston                      38.4892                       38.4892                       38.4892                       
Sanaa                         15.3483                       15.3483                       15.3483                       
Seoul                         37.56                         37.56                         37.56                         
